route_short_name,route_color,route_text_color,Linie_NR_DIVA
N17,000000,FFF200,347
N18,000000,FFF200,348
N19,000000,FFF200,349
N30,000000,FFF200,352
N1,000000,FFF200,391
N2,000000,FFF200,392
N4,000000,FFF200,394
N5,000000,FFF200,395
N6,000000,FFF200,396
N7,000000,FFF200,397
N8,000000,FFF200,398
175,FFFFFF,000000,175
176,FFFFFF,000000,176
188,FFFFFF,000000,188
189,FFFFFF,000000,189
150,FFCC00,000000,150
155,FFCC00,000000,155
160,FFCC00,000000,160
200,FFCC00,000000,200
201,FFCC00,000000,201
205,FFCC00,000000,205
210,FFCC00,000000,210
212,FFCC00,000000,212
213,FFCC00,000000,213
215,FFCC00,000000,215
220,FFCC00,000000,220
221,FFCC00,000000,221
223,FFCC00,000000,223
225,FFCC00,000000,225
227,FFCC00,000000,227
228,FFCC00,000000,228
229,FFCC00,000000,229
230,FFCC00,000000,230
232,FFCC00,000000,232
235,FFCC00,000000,235
240,FFCC00,000000,240
245,FFCC00,000000,245
280,FFCC00,000000,280
N63,000000,FFF200,351
N51,000000,FFF200,354
N52,000000,FFF200,355
N53,000000,FFF200,356
N64,000000,FFF200,359
N68,000000,FFF200,363
N22,000000,FFF200,373
N23,000000,FFF200,374
N24,000000,FFF200,375
N26,000000,FFF200,376
N69,000000,FFF200,378
N54,000000,FFF200,379
N60,000000,FFF200,400
501,FFCC00,000000,501
503,FFCC00,000000,503
504,FFCC00,000000,504
510,FFCC00,000000,510
515,FFCC00,000000,515
520,FFCC00,000000,520
521,FFCC00,000000,521
522,FFCC00,000000,522
523,FFCC00,000000,523
524,FFCC00,000000,524
525,FFCC00,000000,525
530,FFCC00,000000,530
531,FFCC00,000000,531
533-P,000000,000000,533
534,000000,000000,534
535,FFCC00,000000,535
540,FFCC00,000000,540
542,FFCC00,000000,542
543,FFCC00,000000,543
545,FFCC00,000000,545
546,FFCC00,000000,546
555,FFCC00,000000,555
605,FFCC00,000000,605
612,FFCC00,000000,612
615,FFCC00,000000,615
161,FFFFFF,000000,161
620,FFCC00,000000,620
621,FFCC00,000000,621
630,FFCC00,000000,630
634,FFCC00,000000,634
165,FFFFFF,000000,165
665,FFCC00,000000,665
670,FFCC00,000000,670
675,FFCC00,000000,675
676,FFCC00,000000,676
677,FFCC00,000000,677
680,FFCC00,000000,680
E,FFCC00,000000,710
E,FFCC00,000000,711
E,FFCC00,000000,712
E,FFCC00,000000,713
805,FFCC00,000000,805
806,FFCC00,000000,806
807,FFCC00,000000,807
809,FFCC00,000000,809
825,FFCC00,000000,825
827,FFCC00,000000,827
830,FFCC00,000000,830
831,FFCC00,000000,831
832,FFCC00,000000,832
